pot_id,treatment,salinity_level,target_ec,replication,soil_per_pot_kg,nacl_per_pot_g,seeds_sown,plants_emerged,emergence_pct,plant_height_cm,leaves_per_plant,root_length_cm,shoot_fresh_weight_g,shoot_dry_weight_g,root_fresh_weight_g,root_dry_weight_g,total_dry_biomass_g,relative_growth_pct
T0R1,T0,Control,1,1,10,1.7399999999999998,3,3,99.6,41.7,10,24.8,17.87,3.83,7.15,1.67,5.5,93.2
T0R2,T0,Control,1,2,10,1.7399999999999998,3,3,99.3,42.2,10,25.4,18.66,4.23,6.67,1.58,5.81,98.5
T0R3,T0,Control,1,3,10,1.7399999999999998,3,3,100,44.6,10,23.9,18.53,3.84,6.86,1.76,5.6,94.9
T1R1,T1,Low salinity,4,1,10,6.959999999999999,3,3,97.5,37.2,10,22,16.83,3.47,6.51,1.34,4.81,81.5
T1R2,T1,Low salinity,4,2,10,6.959999999999999,3,3,87,36.4,9,22.8,16.71,3.45,6.63,1.4,4.85,82.2
T1R3,T1,Low salinity,4,3,10,6.959999999999999,3,3,94.6,37.1,9,22.7,16.69,3.84,6.54,1.58,5.42,91.9
T2R1,T2,Moderate salinity,8,1,10,13.919999999999998,3,3,86.2,30.4,8,19.3,13.2,3.73,4.88,1.15,4.88,82.7
T2R2,T2,Moderate salinity,8,2,10,13.919999999999998,3,3,90.4,34.7,9,19.8,14.88,3.13,4.61,1.22,4.35,73.7
T2R3,T2,Moderate salinity,8,3,10,13.919999999999998,3,3,91,29,8,19.1,13.13,3.33,5.51,1.56,4.89,82.9
T3R1,T3,High salinity,12,1,10,20.880000000000003,3,2,83.2,24.8,7,14.8,11.8,2.41,4.22,1.13,3.54,60
T3R2,T3,High salinity,12,2,10,20.880000000000003,3,2,79.1,25.5,6,14.5,10.28,2.65,4.79,1.04,3.69,62.5
T3R3,T3,High salinity,12,3,10,20.880000000000003,3,2,82.1,26.4,8,16.8,11.12,2.3,4.66,1.09,3.39,57.5
T4R1,T4,Severe salinity,16,1,10,27.839999999999996,3,2,78.2,20.2,8,12.3,9.84,1.98,3.02,0.66,2.64,44.7
T4R2,T4,Severe salinity,16,2,10,27.839999999999996,3,2,74,23.1,7,13.6,5.87,2.13,3.5,0.73,2.86,48.5
T4R3,T4,Severe salinity,16,3,10,27.839999999999996,3,2,72.6,20.2,8,11.5,7.82,2.29,3.05,0.76,3.05,51.7
