response,shapiro_p,levene_p
emergence_pct,0.8558201144237889,0.5657006593221526
plant_height_cm,0.2485414696349988,0.669324705183314
leaves_per_plant,0.7851954208081325,0.6553599999999999
root_length_cm,0.646146199034676,0.776517409303218
shoot_fresh_weight_g,0.46739112921925985,0.3083143838068656
shoot_dry_weight_g,0.05524231789679287,0.96580667873895365
root_fresh_weight_g,0.93482512028314,0.7090041001956835
root_dry_weight_g,0.5227931317197323,0.6540867838339375
total_dry_biomass_g,0.6083313934478667,0.9632518241717456
relative_growth_pct,0.6319333907387369,0.9614559205348068
