treatment,salinity_level,target_ec,response,n,mean,sd,se
T0,Control,1,emergence_pct,3,99.63333333333333,0.3511884584284263,0.20275875100994162
T0,Control,1,leaves_per_plant,3,10,0,0
T0,Control,1,plant_height_cm,3,42.833333333333336,1.5502687938977973,0.8950481054731697
T0,Control,1,relative_growth_pct,3,95.53333333333333,2.7061657993059707,1.562405552701061
T0,Control,1,root_dry_weight_g,3,1.67,0.08999999999999997,0.051961524227066305
T0,Control,1,root_fresh_weight_g,3,6.8933333333333335,0.24172987679087876,0.13956280943638893
T0,Control,1,root_length_cm,3,24.7,0.7549834435270751,0.4358898943540675
T0,Control,1,shoot_dry_weight_g,3,3.966666666666667,0.2281081614790086,0.13169830843425623
T0,Control,1,shoot_fresh_weight_g,3,18.353333333333335,0.4235957192103493,0.2445631025136683
T0,Control,1,total_dry_biomass_g,3,5.636666666666667,0.15821925715074406,0.0913479307069647
T1,Low salinity,4,emergence_pct,3,93.03333333333333,5.422484055608954,3.1306726291822833
T1,Low salinity,4,leaves_per_plant,3,9.333333333333334,0.5773502691896257,0.3333333333333333
T1,Low salinity,4,plant_height_cm,3,36.9,0.43588989435406944,0.25166114784235954
T1,Low salinity,4,relative_growth_pct,3,85.2,5.812916651733451,3.356088993655166
T1,Low salinity,4,root_dry_weight_g,3,1.44,0.12489995996796799,0.07211102550927981
T1,Low salinity,4,root_fresh_weight_g,3,6.56,0.062449979983984,0.036055512754639904
T1,Low salinity,4,root_length_cm,3,22.5,0.43588989435406744,0.2516611478423584
T1,Low salinity,4,shoot_dry_weight_g,3,3.586666666666667,0.2196208854670549,0.12679817734406812
T1,Low salinity,4,shoot_fresh_weight_g,3,16.743333333333332,0.07571877794400203,0.04371625682867907
T1,Low salinity,4,total_dry_biomass_g,3,5.026666666666666,0.34122328955294573,0.19700535807716285
T2,Moderate salinity,8,emergence_pct,3,89.2,2.6153393661244038,1.5099668870541498
T2,Moderate salinity,8,leaves_per_plant,3,8.333333333333334,0.5773502691896257,0.3333333333333333
T2,Moderate salinity,8,plant_height_cm,3,31.366666666666667,2.970409623828563,1.714966795920876
T2,Moderate salinity,8,relative_growth_pct,3,79.76666666666667,5.254839039716948,3.033882734128735
T2,Moderate salinity,8,root_dry_weight_g,3,1.31,0.21931712199461317,0.1266227994214839
T2,Moderate salinity,8,root_fresh_weight_g,3,5,0.4618441295502193,0.26664583251946755
T2,Moderate salinity,8,root_length_cm,3,19.400000000000002,0.3605551275463986,0.2081665999466131
T2,Moderate salinity,8,shoot_dry_weight_g,3,3.3966666666666665,0.3055050463303894,0.1763834207376394
T2,Moderate salinity,8,shoot_fresh_weight_g,3,13.736666666666666,0.9907741081262339,0.5720236980327925
T2,Moderate salinity,8,total_dry_biomass_g,3,4.706666666666666,0.30892285984260437,0.17835669628895667
T3,High salinity,12,emergence_pct,3,81.46666666666667,2.122105872319604,1.225198396632609
T3,High salinity,12,leaves_per_plant,3,7,1,0.5773502691896258
T3,High salinity,12,plant_height_cm,3,25.566666666666666,0.8020806277010633,0.4630814663149929
T3,High salinity,12,relative_growth_pct,3,60,2.5,1.4433756729740645
T3,High salinity,12,root_dry_weight_g,3,1.0866666666666667,0.04509249752822888,0.02603416558635548
T3,High salinity,12,root_fresh_weight_g,3,4.556666666666667,0.29871948937646076,0.17246577760368717
T3,High salinity,12,root_length_cm,3,15.366666666666667,1.250333288900737,0.7218802609235907
T3,High salinity,12,shoot_dry_weight_g,3,2.453333333333333,0.178978583448784,0.10333333333333335
T3,High salinity,12,shoot_fresh_weight_g,3,11.066666666666666,0.7614022152143598,0.439595773915588
T3,High salinity,12,total_dry_biomass_g,3,3.54,0.1499999999999999,0.08660254037844382
T4,Severe salinity,16,emergence_pct,3,74.93333333333334,2.9143323992525896,1.6825905952165305
T4,Severe salinity,16,leaves_per_plant,3,7.666666666666667,0.5773502691896257,0.3333333333333333
T4,Severe salinity,16,plant_height_cm,3,21.166666666666668,1.674315780649916,0.9666666666666675
T4,Severe salinity,16,relative_growth_pct,3,48.300000000000004,3.504283093587046,2.023198787399136
T4,Severe salinity,16,root_dry_weight_g,3,0.7166666666666667,0.051316014394468826,0.02962731472438529
T4,Severe salinity,16,root_fresh_weight_g,3,3.19,0.2688865931949751,0.1552417469626003
T4,Severe salinity,16,root_length_cm,3,12.466666666666667,1.0598742063723094,0.6119186583561939
T4,Severe salinity,16,shoot_dry_weight_g,3,2.1333333333333333,0.15502687938977983,0.08950481054731703
T4,Severe salinity,16,shoot_fresh_weight_g,3,7.843333333333334,1.9851028520792904,1.1460996660170721
T4,Severe salinity,16,total_dry_biomass_g,3,2.85,0.20518284528683176,0.11846237095944566
