response,treatment,emmean,SE,df,lower.CL,upper.CL
emergence_pct,T0,99.63333333333331,1.8140807283274045,10,95.59130958190747,103.67535708475916
emergence_pct,T1,93.03333333333332,1.8140807283274056,10,88.99130958190747,97.07535708475916
emergence_pct,T2,89.19999999999999,1.8140807283274047,10,85.15797624857414,93.24202375142583
emergence_pct,T3,81.46666666666665,1.8140807283274047,10,77.42464291524081,85.5086904180925
emergence_pct,T4,74.93333333333332,1.8140807283274052,10,70.89130958190748,78.97535708475917
plant_height_cm,T0,42.83333333333332,0.9954340203594052,10,40.61536811798163,45.05129854868501
plant_height_cm,T1,36.89999999999999,0.9954340203594058,10,34.6820347846483,39.11796521535168
plant_height_cm,T2,31.366666666666664,0.9954340203594053,10,29.148701451314977,33.58463188201835
plant_height_cm,T3,25.566666666666663,0.9954340203594054,10,23.348701451314977,27.78463188201835
plant_height_cm,T4,21.16666666666666,0.9954340203594055,10,18.948701451314975,23.384631882018347
leaves_per_plant,T0,9.999999999999998,0.3651483716701105,10,9.1863987263423,10.813601273657696
leaves_per_plant,T1,9.33333333333333,0.36514837167011066,10,8.519732059675633,10.146934606991028
leaves_per_plant,T2,8.333333333333332,0.3651483716701105,10,7.5197320596756345,9.14693460699103
leaves_per_plant,T3,6.999999999999998,0.3651483716701106,10,6.186398726342301,7.813601273657696
leaves_per_plant,T4,7.666666666666664,0.36514837167011066,10,6.853065393008967,8.480267940324362
root_length_cm,T0,24.69999999999999,0.48830773539279987,10,23.61198256304586,25.788017436954117
root_length_cm,T1,22.499999999999993,0.4883077353928001,10,21.41198256304586,23.588017436954125
root_length_cm,T2,19.4,0.4883077353927999,10,18.311982563045866,20.48801743695413
root_length_cm,T3,15.366666666666665,0.4883077353928,10,14.278649229712535,16.454684103620796
root_length_cm,T4,12.466666666666663,0.48830773539280004,10,11.378649229712533,13.554684103620794
shoot_fresh_weight_g,T0,18.353333333333335,0.6157470620672453,10,16.981363381344902,19.72530328532177
shoot_fresh_weight_g,T1,16.743333333333332,0.6157470620672456,10,15.3713633813449,18.115303285321765
shoot_fresh_weight_g,T2,13.736666666666668,0.6157470620672454,10,12.364696714678235,15.108636618655101
shoot_fresh_weight_g,T3,11.066666666666666,0.6157470620672454,10,9.694696714678233,12.4386366186551
shoot_fresh_weight_g,T4,7.843333333333332,0.6157470620672455,10,6.471363381344899,9.215303285321765
shoot_dry_weight_g,T0,3.966666666666664,0.12901334986909102,10,3.679207009398444,4.254126323934884
shoot_dry_weight_g,T1,3.5866666666666656,0.12901334986909108,10,3.2992070093984456,3.8741263239348855
shoot_dry_weight_g,T2,3.3966666666666656,0.12901334986909105,10,3.1092070093984456,3.6841263239348856
shoot_dry_weight_g,T3,2.4533333333333323,0.12901334986909102,10,2.1658736760651123,2.7407929906015522
shoot_dry_weight_g,T4,2.133333333333332,0.12901334986909105,10,1.845873676065112,2.420792990601552
root_fresh_weight_g,T0,6.893333333333329,0.17071744036402461,10,6.512951171746596,7.273715494920062
root_fresh_weight_g,T1,6.559999999999998,0.1707174403640247,10,6.1796178384132645,6.940382161586731
root_fresh_weight_g,T2,4.999999999999998,0.17071744036402464,10,4.619617838413265,5.3803821615867315
root_fresh_weight_g,T3,4.556666666666665,0.17071744036402464,10,4.1762845050799315,4.937048828253398
root_fresh_weight_g,T4,3.1899999999999977,0.17071744036402467,10,2.8096178384132644,3.570382161586731
root_dry_weight_g,T0,1.6699999999999988,0.07139872392261486,10,1.5109137292457788,1.8290862707542188
root_dry_weight_g,T1,1.4399999999999993,0.0713987239226149,10,1.2809137292457793,1.5990862707542193
root_dry_weight_g,T2,1.3099999999999994,0.07139872392261487,10,1.1509137292457794,1.4690862707542194
root_dry_weight_g,T3,1.086666666666666,0.07139872392261487,10,0.927580395912446,1.245752937420886
root_dry_weight_g,T4,0.7166666666666661,0.07139872392261488,10,0.5575803959124461,0.8757529374208861
total_dry_biomass_g,T0,5.636666666666662,0.1417744687875785,10,5.320773464541343,5.952559868791981
total_dry_biomass_g,T1,5.026666666666664,0.14177446878757854,10,4.710773464541345,5.342559868791983
total_dry_biomass_g,T2,4.706666666666665,0.14177446878757852,10,4.390773464541346,5.022559868791984
total_dry_biomass_g,T3,3.5399999999999983,0.14177446878757852,10,3.224106797874679,3.8558932021253174
total_dry_biomass_g,T4,2.8499999999999983,0.14177446878757854,10,2.534106797874679,3.1658932021253174
relative_growth_pct,T0,95.5333333333333,2.4118688005592523,10,90.1593547529137,100.9073119137529
relative_growth_pct,T1,85.19999999999999,2.411868800559254,10,79.82602141958039,90.57397858041959
relative_growth_pct,T2,79.76666666666667,2.411868800559253,10,74.39268808624706,85.14064524708627
relative_growth_pct,T3,59.99999999999999,2.411868800559253,10,54.62602141958039,65.3739785804196
relative_growth_pct,T4,48.29999999999999,2.4118688005592532,10,42.92602141958039,53.67397858041959
