treatment,salinity_level,target_ec,response,mean,se
T0,Control,1,emergence_pct,99.63333333333333,0.20275875100994162
T0,Control,1,leaves_per_plant,10,0
T0,Control,1,plant_height_cm,42.833333333333336,0.8950481054731697
T0,Control,1,relative_growth_pct,95.53333333333333,1.562405552701061
T0,Control,1,root_dry_weight_g,1.67,0.051961524227066305
T0,Control,1,root_fresh_weight_g,6.8933333333333335,0.13956280943638893
T0,Control,1,root_length_cm,24.7,0.4358898943540675
T0,Control,1,shoot_dry_weight_g,3.966666666666667,0.13169830843425623
T0,Control,1,shoot_fresh_weight_g,18.353333333333335,0.2445631025136683
T0,Control,1,total_dry_biomass_g,5.636666666666667,0.0913479307069647
T1,Low salinity,4,emergence_pct,93.03333333333333,3.1306726291822833
T1,Low salinity,4,leaves_per_plant,9.333333333333334,0.3333333333333333
T1,Low salinity,4,plant_height_cm,36.9,0.25166114784235954
T1,Low salinity,4,relative_growth_pct,85.2,3.356088993655166
T1,Low salinity,4,root_dry_weight_g,1.44,0.07211102550927981
T1,Low salinity,4,root_fresh_weight_g,6.56,0.036055512754639904
T1,Low salinity,4,root_length_cm,22.5,0.2516611478423584
T1,Low salinity,4,shoot_dry_weight_g,3.586666666666667,0.12679817734406812
T1,Low salinity,4,shoot_fresh_weight_g,16.743333333333332,0.04371625682867907
T1,Low salinity,4,total_dry_biomass_g,5.026666666666666,0.19700535807716285
T2,Moderate salinity,8,emergence_pct,89.2,1.5099668870541498
T2,Moderate salinity,8,leaves_per_plant,8.333333333333334,0.3333333333333333
T2,Moderate salinity,8,plant_height_cm,31.366666666666667,1.714966795920876
T2,Moderate salinity,8,relative_growth_pct,79.76666666666667,3.033882734128735
T2,Moderate salinity,8,root_dry_weight_g,1.31,0.1266227994214839
T2,Moderate salinity,8,root_fresh_weight_g,5,0.26664583251946755
T2,Moderate salinity,8,root_length_cm,19.400000000000002,0.2081665999466131
T2,Moderate salinity,8,shoot_dry_weight_g,3.3966666666666665,0.1763834207376394
T2,Moderate salinity,8,shoot_fresh_weight_g,13.736666666666666,0.5720236980327925
T2,Moderate salinity,8,total_dry_biomass_g,4.706666666666666,0.17835669628895667
T3,High salinity,12,emergence_pct,81.46666666666667,1.225198396632609
T3,High salinity,12,leaves_per_plant,7,0.5773502691896258
T3,High salinity,12,plant_height_cm,25.566666666666666,0.4630814663149929
T3,High salinity,12,relative_growth_pct,60,1.4433756729740645
T3,High salinity,12,root_dry_weight_g,1.0866666666666667,0.02603416558635548
T3,High salinity,12,root_fresh_weight_g,4.556666666666667,0.17246577760368717
T3,High salinity,12,root_length_cm,15.366666666666667,0.7218802609235907
T3,High salinity,12,shoot_dry_weight_g,2.453333333333333,0.10333333333333335
T3,High salinity,12,shoot_fresh_weight_g,11.066666666666666,0.439595773915588
T3,High salinity,12,total_dry_biomass_g,3.54,0.08660254037844382
T4,Severe salinity,16,emergence_pct,74.93333333333334,1.6825905952165305
T4,Severe salinity,16,leaves_per_plant,7.666666666666667,0.3333333333333333
T4,Severe salinity,16,plant_height_cm,21.166666666666668,0.9666666666666675
T4,Severe salinity,16,relative_growth_pct,48.300000000000004,2.023198787399136
T4,Severe salinity,16,root_dry_weight_g,0.7166666666666667,0.02962731472438529
T4,Severe salinity,16,root_fresh_weight_g,3.19,0.1552417469626003
T4,Severe salinity,16,root_length_cm,12.466666666666667,0.6119186583561939
T4,Severe salinity,16,shoot_dry_weight_g,2.1333333333333333,0.08950481054731703
T4,Severe salinity,16,shoot_fresh_weight_g,7.843333333333334,1.1460996660170721
T4,Severe salinity,16,total_dry_biomass_g,2.85,0.11846237095944566
